"venue_name","timezone"
"Yang-Ming Tennis Center - Court 6","Asia/Taipei"
"Yang-Ming Tennis Center - Court 4","Asia/Taipei"
"Yang-Ming Tennis Center - Court 5","Asia/Taipei"
"Yang-Ming Tennis Center - Court 7","Asia/Taipei"
"Yang-Ming Tennis Center - Court 8","Asia/Taipei"
"Estadio Municipal Coll d en Rebassa","Europe/Madrid"
"Center Court","Europe/Madrid"
"Court 1","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court Central","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Court 4","Europe/Madrid"
"Court 5","Europe/Madrid"
"Indoor","Europe/Madrid"
"Grandstand","Europe/Madrid"
"Center Court","Europe/Belgrade"
"Court 2","Europe/Belgrade"
"Court 4","Europe/Belgrade"
"Court 1","Europe/Belgrade"
"Court 3","Europe/Belgrade"
"Court 5","Europe/Belgrade"
"Court 7","Europe/Belgrade"
"Court 8","Europe/Belgrade"
"Court 9","Europe/Belgrade"
"Practice Court 1","Europe/Belgrade"
"Court 1","Europe/Copenhagen"
"Court 2","Europe/Copenhagen"
"Court 3","Europe/Copenhagen"
"Court 4","Europe/Copenhagen"
"Court 5","Europe/Copenhagen"
"Estadio 3","Europe/Madrid"
"Court 16","Europe/Madrid"
"Court 14","Europe/Madrid"
"Court 15","Europe/Madrid"
"Indoor 10","Europe/Madrid"
"Court 11","Europe/Madrid"
"Court 10","Europe/Madrid"
"Court 9","Europe/Madrid"
"Court 18","Europe/Madrid"
"Court 19","Europe/Madrid"
"Court 17","Europe/Madrid"
"Court 13","Europe/Madrid"
"Court 12","Europe/Madrid"
"Court 20","Europe/Madrid"
"Centre Court","Asia/Bangkok"
"Court 1","Asia/Bangkok"
"Court 6","Asia/Bangkok"
"Court 4","Asia/Bangkok"
"Court 5","Asia/Bangkok"
"Court 3","Asia/Bangkok"
"Center Court","Europe/Rome"
"Court 2","Europe/Rome"
"Court 6","Europe/Rome"
"Court 7","Europe/Rome"
"Court 4","Europe/Rome"
"Court 10","Europe/Rome"
"Court 9","Europe/Rome"
"Court 11","Europe/Rome"
"Court 12","Europe/Rome"
"Court 8","Europe/Rome"
"Centre","Europe/Ljubljana"
"Court 1","Europe/Ljubljana"
"Court 2","Europe/Ljubljana"
"Court D","Europe/Ljubljana"
"Court C","Europe/Ljubljana"
"Court A","Europe/Ljubljana"
"Court 2","Europe/Prague"
"Court 4","Europe/Prague"
"Centre Court","Europe/Prague"
"Court 3","Europe/Prague"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Steffi Graf Stadion","Europe/Berlin"
"Centre Court","Europe/Budapest"
"Court 1","Europe/Budapest"
"Grandstand 4","Europe/Budapest"
"Grand Court","Europe/Budapest"
"Table 1","Asia/Tokyo"
"Court 1","Asia/Tokyo"
"Court 2","Asia/Tokyo"
"Court 3","Asia/Tokyo"
"Court 1","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Center Court","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 4","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court 9","Europe/Madrid"
"Court 7","Europe/Madrid"
"Court 5","Europe/Madrid"
"Pista Pablo Andujar","Europe/Madrid"
"Cancha 2","America/Santiago"
