"competition_name","category_name"
"ITF India F4, Men Singles","ITF Men"
"ITF India F4, Men Doubles","ITF Men"
"ITF Turkey F21, Men Singles","ITF Men"
"ITF Turkey F21, Men Doubles","ITF Men"
"ITF Australia F2, Men Singles","ITF Men"
"ITF Australia F2, Men Doubles","ITF Men"
"ITF Portugal F3, Men Singles","ITF Men"
"ITF Portugal F3, Men Doubles","ITF Men"
"ITF Spain F7, Men Singles","ITF Men"
"ITF Spain F7, Men Doubles","ITF Men"
"ITF India F6, Men Singles","ITF Men"
"ITF India F6, Men Doubles","ITF Men"
"ITF China F5, Men Singles","ITF Men"
"ITF China F5, Men Doubles","ITF Men"
"ITF Portugal F7, Men Singles","ITF Men"
"ITF Portugal F7, Men Doubles","ITF Men"
"ITF Mexico F2, Men Singles","ITF Men"
"ITF Mexico F2, Men Doubles","ITF Men"
"ITF Greece F1, Men Singles","ITF Men"
"ITF Greece F1, Men Doubles","ITF Men"
"ITF Hungary F1, Men Singles","ITF Men"
"ITF Hungary F1, Men Doubles","ITF Men"
"ITF Italy F12, Men Singles","ITF Men"
"ITF Italy F12, Men Doubles","ITF Men"
"ITF Mexico F1, Men Singles","ITF Men"
"ITF Mexico F1, Men Doubles","ITF Men"
"ITF Vietnam F4, Men Singles","ITF Men"
"ITF Vietnam F4, Men Doubles","ITF Men"
"ITF Singapore F3, Men Singles","ITF Men"
"ITF Singapore F3, Men Doubles","ITF Men"
"ITF Greece F2, Men Singles","ITF Men"
"ITF Greece F2, Men Doubles","ITF Men"
"ITF Men San Jose, Costa Rica Men Singles","ITF Men"
"ITF Men San Jose, Costa Rica Men Doubles","ITF Men"
"ITF Mexico F21, Men Singles","ITF Men"
"ITF Mexico F21, Men Doubles","ITF Men"
"ITF Poland F2, Men Singles","ITF Men"
"ITF Poland F2, Men Doubles","ITF Men"
"ITF China F10, Men Singles","ITF Men"
"ITF China F10, Men Doubles","ITF Men"
"ITF Poland F5, Men Singles","ITF Men"
"ITF Poland F5, Men Doubles","ITF Men"
"ITF Portugal F10, Men Singles","ITF Men"
"ITF Portugal F10, Men Doubles","ITF Men"
"ITF USA F1, Men Singles","ITF Men"
"ITF USA F1, Men Doubles","ITF Men"
"ITF Hong Kong F6, Men Singles","ITF Men"
"ITF Hong Kong F6, Men Doubles","ITF Men"
"ITF USA F2, Men Singles","ITF Men"
"ITF USA F2, Men Doubles","ITF Men"
"ITF France F1, Men Singles","ITF Men"
"ITF France F1, Men Doubles","ITF Men"
"ITF Germany F1, Men Singles","ITF Men"
"ITF Germany F1, Men Doubles","ITF Men"
"ITF Tunisia F1, Men Singles","ITF Men"
"ITF Tunisia F1, Men Doubles","ITF Men"
"ITF Turkey F1, Men Singles","ITF Men"
"ITF Turkey F1, Men Doubles","ITF Men"
"ITF USA F3, Men Singles","ITF Men"
"ITF USA F3, Men Doubles","ITF Men"
"ITF Egypt F1, Men Singles","ITF Men"
"ITF Egypt F1, Men Doubles","ITF Men"
"ITF France F2, Men Singles","ITF Men"
"ITF France F2, Men Doubles","ITF Men"
"ITF Germany F2, Men Singles","ITF Men"
"ITF Germany F2, Men Doubles","ITF Men"
"ITF Spain F1, Men Singles","ITF Men"
"ITF Spain F1, Men Doubles","ITF Men"
"ITF Tunisia F2, Men Singles","ITF Men"
"ITF Tunisia F2, Men Doubles","ITF Men"
"ITF Turkey F2, Men Singles","ITF Men"
"ITF Turkey F2, Men Doubles","ITF Men"
"ITF USA F4, Men Singles","ITF Men"
"ITF USA F4, Men Doubles","ITF Men"
"ITF Germany F3, Men Singles","ITF Men"
"ITF Germany F3, Men Doubles","ITF Men"
"ITF Kazakhstan F1, Men Singles","ITF Men"
"ITF Kazakhstan F1, Men Doubles","ITF Men"
"ITF Egypt F2, Men Singles","ITF Men"
"ITF Egypt F2, Men Doubles","ITF Men"
"ITF France F3, Men Singles","ITF Men"
"ITF France F3, Men Doubles","ITF Men"
"ITF Spain F2, Men Singles","ITF Men"
"ITF Spain F2, Men Doubles","ITF Men"
"ITF Tunisia F3, Men Singles","ITF Men"
"ITF Tunisia F3, Men Doubles","ITF Men"
"ITF Turkey F3, Men Singles","ITF Men"
"ITF Turkey F3, Men Doubles","ITF Men"
"ITF Belgium F4, Men Singles","ITF Men"
"ITF Belgium F4, Men Doubles","ITF Men"
"ITF Portugal F11, Men Singles","ITF Men"
"ITF Portugal F11, Men Doubles","ITF Men"
"ITF USA F5, Men Singles","ITF Men"
"ITF USA F5, Men Doubles","ITF Men"
"ITF Kazakhstan F2, Men Singles","ITF Men"
"ITF Kazakhstan F2, Men Doubles","ITF Men"
"ITF Egypt F3, Men Singles","ITF Men"
"ITF Egypt F3, Men Doubles","ITF Men"
"ITF Portugal F1, Men Doubles","ITF Men"
"ITF Turkey F4, Men Singles","ITF Men"
"ITF USA F6, Men Singles","ITF Men"
"ITF Switzerland F1, Men Singles","ITF Men"
"ITF Egypt F4, Men Singles","ITF Men"
"ITF Great Britain F2, Men Singles","ITF Men"
"ITF Indonesia F1, Men Singles","ITF Men"
"ITF Spain F4, Men Doubles","ITF Men"
"ITF Tunisia F5, Men Singles","ITF Men"
"ITF Turkey F5, Men Singles","ITF Men"
"ITF Egypt F7, Men Singles","ITF Men"
"ITF Tunisia F8, Men Singles","ITF Men"
"ITF Turkey F8, Men Singles","ITF Men"
"ITF Great Britain F1, Men Singles","ITF Men"
"ITF Great Britain F1, Men Doubles","ITF Men"
"ITF China F13, Men Singles","ITF Men"
"ITF China F13, Men Doubles","ITF Men"
"ITF Czech Republic F6, Men Singles","ITF Men"
"ITF Czech Republic F6, Men Doubles","ITF Men"
